meter_id,ts,kwh,version,flags
00FB86738B42,1768050000,0.642,1,0
00FB86738B42,1768053600,,1,2
00FB86738B42,1768057200,0.673,1,0
00FB86738B42,1768060800,0.621,1,0
00FB86738B42,1768064400,0.559,1,0
00FB86738B42,1768068000,0.504,1,0
00FB86738B42,1768071600,0.472,1,0
00FB86738B42,1768075200,0.427,1,0
00FB86738B42,1768078800,0.412,1,0
00FB86738B42,1768082400,0.275,1,0
00FB86738B42,1768086000,0.279,1,0
00FB86738B42,1768089600,0.223,1,0
00FB86738B42,1768093200,0.284,1,0
00FB86738B42,1768096800,0.230,1,0
00FB86738B42,1768100400,0.281,1,0
00FB86738B42,1768104000,0.367,1,0
00FB86738B42,1768107600,0.393,1,0
00FB86738B42,1768111200,,1,2
00FB86738B42,1768114800,0.455,1,0
00FB86738B42,1768118400,0.507,1,0
00FB86738B42,1768122000,0.621,1,0
00FB86738B42,1768125600,0.638,1,0
00FB86738B42,1768129200,0.668,1,0
00FB86738B42,1768132800,0.702,1,0
00FB86738B42,1768132800,0.712,2,0
00FB86738B42,1768136400,0.721,1,0
00FB86738B42,1768140000,0.722,1,0
00FB86738B42,1768143600,0.635,1,0
00FB86738B42,1768147200,0.586,1,0
00FB86738B42,1768150800,0.600,1,0
00FB86738B42,1768154400,0.566,1,0
00FB86738B42,1768158000,0.518,1,0
00FB86738B42,1768161600,,1,2
00FB86738B42,1768165200,0.405,1,0
00FB86738B42,1768168800,0.341,1,0
00FB86738B42,1768172400,,1,2
00FB86738B42,1768176000,0.235,1,0
00FB86738B42,1768179600,0.225,1,0
00FB86738B42,1768183200,0.271,1,0
00FB86738B42,1768186800,0.249,1,0
00FB86738B42,1768190400,0.300,1,0
00FB86738B42,1768194000,0.387,1,0
00FB86738B42,1768197600,0.417,1,0
00FB86738B42,1768201200,0.433,1,0
00FB86738B42,1768204800,0.568,1,0
00FB86738B42,1768208400,0.607,1,0
00FB86738B42,1768212000,0.583,1,0
00FB86738B42,1768215600,0.679,1,0
00FB86738B42,1768219200,0.666,1,0
00FB86738B42,1768222800,0.659,1,0
00FB86738B42,1768226400,0.706,1,0
00FB86738B42,1768230000,0.658,1,0
00FB86738B42,1768233600,0.618,1,0
00FB86738B42,1768237200,0.554,1,0
00FB86738B42,1768240800,0.505,1,0
00FB86738B42,1768244400,0.466,1,0
00FB86738B42,1768248000,0.367,1,0
00FB86738B42,1768251600,0.397,1,0
00FB86738B42,1768251600,0.407,2,0
00FB86738B42,1768255200,0.352,1,0
00FB86738B42,1768258800,0.305,1,0
00FB86738B42,1768262400,0.247,1,0
00FB86738B42,1768266000,0.210,1,0
00FB86738B42,1768269600,0.285,1,0
00FB86738B42,1768273200,0.262,1,0
00FB86738B42,1768276800,0.324,1,0
00FB86738B42,1768280400,0.384,1,0
00FB86738B42,1768284000,0.441,1,0
00FB86738B42,1768287600,0.471,1,0
00FB86738B42,1768291200,0.504,1,0
00FB86738B42,1768294800,0.617,1,0
00FB86738B42,1768298400,0.645,1,0
00FB86738B42,1768302000,0.689,1,0
00FB86738B42,1768305600,0.632,1,0
00FB86738B42,1768309200,,1,2
00FB86738B42,1768312800,0.629,1,0
00FB86738B42,1768316400,0.669,1,0
00FB86738B42,1768320000,0.574,1,0
00FB86738B42,1768323600,0.606,1,0
00FB86738B42,1768327200,0.489,1,0
00FB86738B42,1768330800,0.433,1,0
00FB86738B42,1768334400,0.380,1,0
00FB86738B42,1768338000,0.384,1,0
00FB86738B42,1768341600,0.321,1,0
00FB86738B42,1768345200,,1,2
00FB86738B42,1768348800,0.268,1,0
00FB86738B42,1768352400,0.273,1,0
00FB86738B42,1768356000,,1,2
00FB86738B42,1768359600,0.266,1,0
00FB86738B42,1768363200,0.319,1,0
00FB86738B42,1768366800,0.387,1,0
00FB86738B42,1768370400,0.446,1,0
00FB86738B42,1768374000,0.441,1,0
00FB86738B42,1768377600,0.547,1,0
00FB86738B42,1768381200,0.538,1,0
00FB86738B42,1768384800,0.577,1,0
00FB86738B42,1768388400,0.634,1,0
00FB86738B42,1768392000,0.635,1,0
00FB86738B42,1768395600,0.681,1,0
00FB86738B42,1768399200,0.680,1,0
00FB86738B42,1768402800,0.681,1,0
00FB86738B42,1768406400,0.642,1,0
00FB86738B42,1768410000,0.553,1,0
00FB86738B42,1768413600,0.544,1,0
00FB86738B42,1768417200,0.473,1,0
00FB86738B42,1768420800,0.430,1,0
00FB86738B42,1768424400,0.316,1,0
00FB86738B42,1768428000,0.356,1,0
00FB86738B42,1768431600,0.327,1,0
00FB86738B42,1768435200,0.295,1,0
00FB86738B42,1768438800,0.304,1,0
00FB86738B42,1768442400,0.218,1,0
00FB86738B42,1768446000,0.236,1,0
00FB86738B42,1768449600,0.273,1,0
00FB86738B42,1768453200,0.387,1,0
00FB86738B42,1768456800,0.451,1,0
00FB86738B42,1768460400,0.458,1,0
00FB86738B42,1768464000,0.561,1,0
00FB86738B42,1768467600,0.545,1,0
00FB86738B42,1768471200,,1,2
00FB86738B42,1768474800,0.675,1,0
00FB86738B42,1768478400,0.667,1,0
00FB86738B42,1768482000,0.652,1,0
00FB86738B42,1768485600,0.660,1,0
00FB86738B42,1768489200,0.657,1,0
00FB86738B42,1768489200,0.667,2,0
00FB86738B42,1768492800,0.600,1,0
00FB86738B42,1768496400,,1,2
00FB86738B42,1768500000,0.503,1,0
00FB86738B42,1768503600,0.483,1,0
00FB86738B42,1768507200,0.378,1,0
00FB86738B42,1768510800,0.374,1,0
00FB86738B42,1768514400,0.322,1,0
00FB86738B42,1768518000,0.239,1,0
00FB86738B42,1768521600,0.234,1,0
00FB86738B42,1768525200,0.263,1,0
00FB86738B42,1768528800,0.218,1,0
00FB86738B42,1768532400,0.282,1,0
00FB86738B42,1768536000,0.345,1,0
00FB86738B42,1768539600,0.325,1,0
00FB86738B42,1768543200,,1,2
00FB86738B42,1768546800,0.508,1,0
00FB86738B42,1768550400,0.566,1,0
00FB86738B42,1768554000,0.593,1,0
00FB86738B42,1768557600,0.606,1,0
00FB86738B42,1768561200,0.648,1,0
00FB86738B42,1768564800,0.713,1,0
00FB86738B42,1768568400,0.725,1,0
00FB86738B42,1768572000,0.647,1,0
00FB86738B42,1768575600,0.705,1,0
00FB86738B42,1768579200,0.641,1,0
00FB86738B42,1768582800,0.548,1,0
00FB86738B42,1768586400,0.503,1,0
00FB86738B42,1768590000,0.432,1,0
00FB86738B42,1768593600,0.452,1,0
00FB86738B42,1768597200,0.344,1,0
00FB86738B42,1768600800,0.303,1,0
00FB86738B42,1768604400,,1,2
00FB86738B42,1768608000,0.310,1,0
00FB86738B42,1768611600,0.277,1,0
00FB86738B42,1768615200,0.244,1,0
00FB86738B42,1768618800,0.293,1,0
00FB86738B42,1768622400,0.318,1,0
00FB86738B42,1768626000,0.346,1,0
00FB86738B42,1768629600,0.437,1,0
00FB86738B42,1768633200,0.493,1,0
00FB86738B42,1768636800,0.564,1,0
00FB86738B42,1768640400,0.626,1,0
00FB86738B42,1768644000,0.616,1,0
00FB86738B42,1768647600,0.661,1,0
00FB86738B42,1768651200,0.702,1,0
00FB86738B42,1768654800,0.724,1,0
00FB86738B42,1768658400,0.683,1,0
00FB86738B42,1768662000,0.674,1,0
00FB86738B42,1768665600,,1,2
00FB86738B42,1768669200,,1,2
00FB86738B42,1768672800,0.481,1,0
00FB86738B42,1768676400,0.433,1,0
00FB86738B42,1768680000,0.415,1,0
00FB86738B42,1768683600,0.327,1,0
00FB86738B42,1768687200,0.285,1,0
00FB86738B42,1768690800,0.275,1,0
00FB86738B42,1768694400,0.278,1,0
00FB86738B42,1768698000,0.218,1,0
00FB86738B42,1768701600,0.252,1,0
00FB86738B42,1768705200,0.288,1,0
00FB86738B42,1768708800,0.316,1,0
00FB86738B42,1768712400,0.333,1,0
00FB86738B42,1768716000,0.370,1,0
00FB86738B42,1768719600,0.428,1,0
00FB86738B42,1768723200,0.540,1,0
00FB86738B42,1768726800,0.609,1,0
00FB86738B42,1768730400,0.590,1,0
00FB86738B42,1768734000,0.692,1,0
00FB86738B42,1768737600,0.691,1,0
00FB86738B42,1768741200,0.680,1,0
00FB86738B42,1768744800,0.707,1,0
00FB86738B42,1768748400,0.689,1,0
00FB86738B42,1768752000,0.588,1,0
00FB86738B42,1768755600,0.553,1,0
00FB86738B42,1768759200,0.553,1,0
00FB86738B42,1768762800,0.497,1,0
00FB86738B42,1768766400,0.406,1,0
00FB86738B42,1768770000,,1,2
00FB86738B42,1768773600,0.355,1,0
00FB86738B42,1768777200,0.290,1,0
00FB86738B42,1768780800,0.217,1,0
00FB86738B42,1768784400,0.296,1,0
00FB86738B42,1768788000,0.221,1,0
00FB86738B42,1768791600,0.301,1,0
00FB86738B42,1768795200,0.306,1,0
00FB86738B42,1768798800,0.322,1,0
00FB86738B42,1768802400,0.442,1,0
00FB86738B42,1768806000,0.448,1,0
00FB86738B42,1768809600,0.558,1,0
00FB86738B42,1768813200,0.556,1,0
00FB86738B42,1768816800,0.641,1,0
00FB86738B42,1768820400,0.671,1,0
00FB86738B42,1768824000,0.648,1,0
00FB86738B42,1768827600,0.697,1,0
00FB86738B42,1768831200,0.690,1,0
00FB86738B42,1768834800,0.628,1,0
00FB86738B42,1768838400,0.638,1,0
00FB86738B42,1768842000,0.546,1,0
00FB86738B42,1768845600,0.513,1,0
00FB86738B42,1768849200,,1,2
00FB86738B42,1768852800,0.462,1,0
00FB86738B42,1768856400,0.363,1,0
00FB86738B42,1768860000,0.287,1,0
00FB86738B42,1768863600,0.318,1,0
00FB86738B42,1768867200,0.240,1,0
00FB86738B42,1768870800,0.252,1,0
00FB86738B42,1768874400,0.218,1,0
00FB86738B42,1768878000,0.264,1,0
00FB86738B42,1768881600,0.289,1,0
00FB86738B42,1768885200,0.395,1,0
00FB86738B42,1768888800,0.374,1,0
00FB86738B42,1768892400,0.463,1,0
00FB86738B42,1768896000,0.484,1,0
00FB86738B42,1768899600,0.557,1,0
00FB86738B42,1768903200,0.651,1,0
00FB86738B42,1768906800,0.696,1,0
00FB86738B42,1768910400,0.703,1,0
00FB86738B42,1768914000,0.676,1,0
00FB86738B42,1768917600,0.630,1,0
00FB86738B42,1768921200,0.698,1,0
00FB86738B42,1768924800,0.574,1,0
00FB86738B42,1768928400,0.619,1,0
00FB86738B42,1768932000,0.479,1,0
00FB86738B42,1768935600,0.493,1,0
00FB86738B42,1768939200,0.409,1,0
00FB86738B42,1768942800,,1,2
00FB86738B42,1768946400,0.353,1,0
00FB86738B42,1768950000,0.286,1,0
00FB86738B42,1768953600,0.301,1,0
00FB86738B42,1768957200,0.256,1,0
00FB86738B42,1768960800,0.255,1,0
00FB86738B42,1768964400,,1,2
00FB86738B42,1768968000,0.292,1,0
00FB86738B42,1768971600,0.360,1,0
00FB86738B42,1768975200,0.406,1,0
00FB86738B42,1768978800,0.443,1,0
00FB86738B42,1768982400,0.520,1,0
00FB86738B42,1768986000,0.549,1,0
00FB86738B42,1768989600,0.623,1,0
00FB86738B42,1768993200,0.609,1,0
00FB86738B42,1768996800,,1,2
00FB86738B42,1769000400,0.689,1,0
00FB86738B42,1769004000,0.700,1,0
00FB86738B42,1769007600,0.615,1,0
00FB86738B42,1769011200,0.658,1,0
00FB86738B42,1769014800,0.579,1,0
00FB86738B42,1769018400,0.528,1,0
00FB86738B42,1769022000,0.457,1,0
00FB86738B42,1769025600,0.421,1,0
00FB86738B42,1769029200,0.381,1,0
00FB86738B42,1769032800,0.355,1,0
00FB86738B42,1769036400,0.319,1,0
00FB86738B42,1769040000,0.226,1,0
00FB86738B42,1769043600,0.246,1,0
00FB86738B42,1769047200,0.219,1,0
00FB86738B42,1769050800,0.279,1,0
00FB86738B42,1769054400,0.336,1,0
00FB86738B42,1769058000,0.374,1,0
00FB86738B42,1769061600,0.402,1,0
00FB86738B42,1769065200,0.502,1,0
00FB86738B42,1769068800,0.532,1,0
00FB86738B42,1769072400,0.536,1,0
00FB86738B42,1769076000,0.666,1,0
00FB86738B42,1769079600,0.684,1,0
00FB86738B42,1769083200,0.633,1,0
00FB86738B42,1769086800,0.657,1,0
00FB86738B42,1769090400,0.631,1,0
00FB86738B42,1769094000,0.640,1,0
00FB86738B42,1769097600,0.596,1,0
00FB86738B42,1769101200,0.532,1,0
00FB86738B42,1769104800,0.564,1,0
00FB86738B42,1769108400,0.479,1,0
00FB86738B42,1769112000,0.447,1,0
00FB86738B42,1769115600,0.349,1,0
00FB86738B42,1769115600,0.359,2,0
00FB86738B42,1769119200,0.321,1,0
00FB86738B42,1769122800,0.326,1,0
00FB86738B42,1769126400,0.308,1,0
00FB86738B42,1769130000,0.219,1,0
00FB86738B42,1769133600,0.307,1,0
00FB86738B42,1769137200,0.315,1,0
00FB86738B42,1769140800,0.321,1,0
00FB86738B42,1769144400,0.360,1,0
00FB86738B42,1769148000,0.393,1,0
00FB86738B42,1769151600,0.504,1,0
00FB86738B42,1769155200,0.573,1,0
00FB86738B42,1769158800,,1,2
00FB86738B42,1769162400,0.607,1,0
00FB86738B42,1769166000,0.658,1,0
00FB86738B42,1769169600,0.667,1,0
00FB86738B42,1769173200,0.721,1,0
00FB86738B42,1769176800,0.667,1,0
00FB86738B42,1769180400,0.646,1,0
00FB86738B42,1769184000,0.607,1,0
00FB86738B42,1769187600,0.529,1,0
00FB86738B42,1769191200,0.554,1,0
00FB86738B42,1769194800,0.432,1,0
00FB86738B42,1769198400,0.453,1,0
00FB86738B42,1769202000,0.402,1,0
00FB86738B42,1769205600,0.308,1,0
00FB86738B42,1769209200,0.264,1,0
00FB86738B42,1769212800,0.283,1,0
00FB86738B42,1769216400,0.265,1,0
00FB86738B42,1769220000,0.238,1,0
00FB86738B42,1769223600,0.295,1,0
00FB86738B42,1769227200,0.271,1,0
00FB86738B42,1769230800,,1,2
00FB86738B42,1769234400,0.450,1,0
00FB86738B42,1769238000,0.448,1,0
00FB86738B42,1769241600,0.555,1,0
00FB86738B42,1769245200,0.543,1,0
00FB86738B42,1769248800,0.626,1,0
00FB86738B42,1769252400,,1,2
00FB86738B42,1769256000,0.678,1,0
00FB86738B42,1769259600,0.734,1,0
00FB86738B42,1769263200,-0.67,1,4
00FB86738B42,1769266800,0.655,1,0
00FB86738B42,1769270400,0.646,1,0
00FB86738B42,1769274000,,1,2
00FB86738B42,1769277600,0.498,1,0
00FB86738B42,1769281200,0.460,1,0
00FB86738B42,1769284800,0.454,1,0
00FB86738B42,1769284800,0.464,2,0
00FB86738B42,1769288400,,1,2
00FB86738B42,1769292000,,1,2
00FB86738B42,1769295600,0.325,1,0
00FB86738B42,1769299200,0.223,1,0
00FB86738B42,1769302800,0.293,1,0
00FB86738B42,1769306400,0.267,1,0
00FB86738B42,1769310000,0.243,1,0
00FB86738B42,1769313600,0.360,1,0
00FB86738B42,1769317200,0.404,1,0
00FB86738B42,1769320800,0.368,1,0
00FB86738B42,1769324400,0.505,1,0
00FB86738B42,1769328000,0.565,1,0
00FB86738B42,1769331600,0.621,1,0
00FB86738B42,1769335200,0.645,1,0
00FB86738B42,1769338800,0.611,1,0
00FB86738B42,1769342400,0.644,1,0
00FB86738B42,1769346000,0.696,1,0
00FB86738B42,1769349600,0.678,1,0
00FB86738B42,1769353200,0.613,1,0
00FB86738B42,1769356800,0.641,1,0
00FB86738B42,1769360400,0.554,1,0
00FB86738B42,1769364000,0.517,1,0
00FB86738B42,1769367600,0.486,1,0
00FB86738B42,1769371200,0.390,1,0
00FB86738B42,1769374800,0.330,1,0
00FB86738B42,1769378400,0.345,1,0
00FB86738B42,1769382000,0.293,1,0
00FB86738B42,1769385600,0.298,1,0
00FB86738B42,1769389200,0.247,1,0
00FB86738B42,1769392800,0.228,1,0
00FB86738B42,1769396400,0.308,1,0
00FB86738B42,1769400000,0.336,1,0
00FB86738B42,1769403600,0.393,1,0
00FB86738B42,1769407200,0.428,1,0
00FB86738B42,1769410800,0.425,1,0
00FB86738B42,1769414400,0.485,1,0
00FB86738B42,1769418000,0.571,1,0
00FB86738B42,1769421600,,1,2
00FB86738B42,1769425200,0.622,1,0
00FB86738B42,1769428800,0.666,1,0
00FB86738B42,1769432400,0.668,1,0
00FB86738B42,1769436000,,1,2
00FB86738B42,1769439600,0.696,1,0
00FB86738B42,1769443200,0.580,1,0
00FB86738B42,1769446800,0.595,1,0
00FB86738B42,1769450400,0.517,1,0
00FB86738B42,1769454000,0.515,1,0
00FB86738B42,1769457600,0.442,1,0
00FB86738B42,1769461200,0.355,1,0
00FB86738B42,1769464800,,1,2
00FB86738B42,1769468400,,1,2
00FB86738B42,1769472000,,1,2
00FB86738B42,1769475600,0.268,1,0
00FB86738B42,1769479200,0.295,1,0
00FB86738B42,1769482800,0.284,1,0
00FB86738B42,1769486400,0.328,1,0
00FB86738B42,1769490000,0.367,1,0
00FB86738B42,1769493600,0.379,1,0
00FB86738B42,1769497200,,1,2
00FB86738B42,1769500800,0.548,1,0
00FB86738B42,1769504400,0.554,1,0
00FB86738B42,1769508000,,1,2
00FB86738B42,1769511600,0.659,1,0
00FB86738B42,1769515200,0.647,1,0
00FB86738B42,1769518800,0.645,1,0
00FB86738B42,1769522400,0.682,1,0
00FB86738B42,1769526000,0.624,1,0
00FB86738B42,1769529600,0.632,1,0
00FB86738B42,1769533200,0.531,1,0
00FB86738B42,1769536800,0.485,1,0
00FB86738B42,1769540400,0.470,1,0
00FB86738B42,1769544000,0.440,1,0
00FB86738B42,1769547600,0.378,1,0
00FB86738B42,1769551200,0.292,1,0
00FB86738B42,1769554800,0.331,1,0
00FB86738B42,1769558400,0.226,1,0
00FB86738B42,1769562000,0.305,1,0
00FB86738B42,1769565600,0.289,1,0
00FB86738B42,1769569200,0.236,1,0
00FB86738B42,1769572800,0.346,1,0
00FB86738B42,1769576400,0.406,1,0
00FB86738B42,1769580000,0.383,1,0
00FB86738B42,1769583600,0.470,1,0
00FB86738B42,1769587200,0.554,1,0
00FB86738B42,1769590800,0.572,1,0
