nodo_id,tipo,padre_id,desde,hasta
D02BE4DA511F,MEDIDOR,TR-0003,1735689600,4102444800
B48186C2B233,MEDIDOR,TR-0004,1735689600,4102444800
E00FE79B2819,MEDIDOR,TR-0000,1735689600,4102444800
BD1950E4245C,MEDIDOR,TR-0001,1735689600,4102444800
DDCBDABB46A5,MEDIDOR,TR-0002,1735689600,4102444800
379A6B3B876D,MEDIDOR,TR-0003,1735689600,4102444800
188AA16FB8B5,MEDIDOR,TR-0004,1735689600,4102444800
F1C7373DF8F2,MEDIDOR,TR-0000,1735689600,4102444800
720BC307A48F,MEDIDOR,TR-0001,1735689600,4102444800
48B41A187ADB,MEDIDOR,TR-0002,1735689600,4102444800
9C8C999ACBED,MEDIDOR,TR-0003,1735689600,4102444800
AA24F3E0B8D4,MEDIDOR,TR-0004,1735689600,4102444800
25BA514F124B,MEDIDOR,TR-0000,1735689600,4102444800
0B0F8F96C45A,MEDIDOR,TR-0001,1735689600,4102444800
C8B693163C25,MEDIDOR,TR-0002,1735689600,4102444800
15EE9BD03367,MEDIDOR,TR-0003,1735689600,4102444800
27500A6407CD,MEDIDOR,TR-0004,1735689600,4102444800
8BFF5DDCEBB5,MEDIDOR,TR-0000,1735689600,4102444800
4C5C09937AE4,MEDIDOR,TR-0001,1735689600,4102444800
0970062ABCCC,MEDIDOR,TR-0002,1735689600,4102444800
8EE8FE5EC764,MEDIDOR,TR-0003,1735689600,4102444800
7FB5CBAB9D1C,MEDIDOR,TR-0004,1735689600,4102444800
E26BC86FF2A3,MEDIDOR,TR-0000,1735689600,4102444800
9786A9D13D1D,MEDIDOR,TR-0001,1735689600,4102444800
5A5C32791F1A,MEDIDOR,TR-0002,1735689600,4102444800
82CEA0293462,MEDIDOR,TR-0003,1735689600,4102444800
17BFAA751599,MEDIDOR,TR-0004,1735689600,4102444800
E1417BE1CF7E,MEDIDOR,TR-0000,1735689600,4102444800
D703C25CA68C,MEDIDOR,TR-0001,1735689600,4102444800
BA42FD579D10,MEDIDOR,TR-0002,1735689600,4102444800
4EDFC7551731,MEDIDOR,TR-0003,1735689600,4102444800
584AFF1EDBD7,MEDIDOR,TR-0004,1735689600,4102444800
CED52600C136,MEDIDOR,TR-0000,1735689600,4102444800
3EB5F5498FD0,MEDIDOR,TR-0001,1735689600,4102444800
DFC073802D22,MEDIDOR,TR-0002,1735689600,4102444800
8E7EE5007FD7,MEDIDOR,TR-0003,1735689600,4102444800
8BC61A227804,MEDIDOR,TR-0004,1735689600,4102444800
F9CEA6D7C61D,MEDIDOR,TR-0000,1735689600,4102444800
2233C0858110,MEDIDOR,TR-0001,1735689600,4102444800
B44A94762E4C,MEDIDOR,TR-0002,1735689600,4102444800
7ADD5C9AFCA5,MEDIDOR,TR-0003,1735689600,4102444800
0DED498456FE,MEDIDOR,TR-0004,1735689600,4102444800
8B5912A58B3B,MEDIDOR,TR-0000,1735689600,4102444800
0F869B6A7357,MEDIDOR,TR-0001,1735689600,4102444800
139B51CF292C,MEDIDOR,TR-0002,1735689600,4102444800
2D6F7957A8E2,MEDIDOR,TR-0003,1735689600,4102444800
2521609F9F0A,MEDIDOR,TR-0004,1735689600,4102444800
4EB02FCBC6EA,MEDIDOR,TR-0000,1735689600,4102444800
69BA1FDE4BE7,MEDIDOR,TR-0001,1735689600,4102444800
767958E29158,MEDIDOR,TR-0002,1735689600,4102444800
8FCCB7CE724E,MEDIDOR,TR-0003,1735689600,4102444800
9CF757907924,MEDIDOR,TR-0004,1735689600,4102444800
9188229B46B1,MEDIDOR,TR-0000,1735689600,4102444800
54BE8828C5F9,MEDIDOR,TR-0001,1735689600,4102444800
48EEFC16BC30,MEDIDOR,TR-0002,1735689600,4102444800
C4282D49CAB3,MEDIDOR,TR-0003,1735689600,4102444800
6DE45A09E593,MEDIDOR,TR-0004,1735689600,4102444800
C4225A883BC7,MEDIDOR,TR-0000,1735689600,4102444800
358B18F89E9E,MEDIDOR,TR-0001,1735689600,4102444800
C10EA4F2FEF2,MEDIDOR,TR-0002,1735689600,4102444800
16C8878ABBB8,MEDIDOR,TR-0003,1735689600,4102444800
64F81DF46187,MEDIDOR,TR-0004,1735689600,4102444800
3A6F7AE1840E,MEDIDOR,TR-0000,1735689600,4102444800
1B290F634933,MEDIDOR,TR-0001,1735689600,4102444800
01CD5DEB3A01,MEDIDOR,TR-0002,1735689600,4102444800
8434C3C395B8,MEDIDOR,TR-0003,1735689600,4102444800
D3673DAB80FC,MEDIDOR,TR-0004,1735689600,4102444800
4AC5427EE389,MEDIDOR,TR-0000,1735689600,4102444800
755D9EB892BC,MEDIDOR,TR-0001,1735689600,4102444800
FCB92F97B225,MEDIDOR,TR-0002,1735689600,4102444800
39BAA7703202,MEDIDOR,TR-0003,1735689600,4102444800
831898442C55,MEDIDOR,TR-0004,1735689600,4102444800
066DEE896C36,MEDIDOR,TR-0000,1735689600,4102444800
90B9A30372D9,MEDIDOR,TR-0001,1735689600,4102444800
40121BBE2170,MEDIDOR,TR-0002,1735689600,4102444800
C77C2674C6BA,MEDIDOR,TR-0003,1735689600,4102444800
704B77BB29B3,MEDIDOR,TR-0004,1735689600,4102444800
A28EB2A4BA7A,MEDIDOR,TR-0000,1735689600,4102444800
1653820FD2BB,MEDIDOR,TR-0001,1735689600,4102444800
2484EE0654B1,MEDIDOR,TR-0002,1735689600,4102444800
7F02864C73D2,MEDIDOR,TR-0003,1735689600,4102444800
533B4EEE73A5,MEDIDOR,TR-0004,1735689600,4102444800
8F19E18429D6,MEDIDOR,TR-0000,1735689600,4102444800
AF71B7DF4E9B,MEDIDOR,TR-0001,1735689600,4102444800
F50AC5F3002B,MEDIDOR,TR-0002,1735689600,4102444800
592CD12B792E,MEDIDOR,TR-0003,1735689600,4102444800
D1CC0EB60343,MEDIDOR,TR-0004,1735689600,4102444800
8689589E4BE2,MEDIDOR,TR-0000,1735689600,4102444800
90E605B9E225,MEDIDOR,TR-0001,1735689600,4102444800
BE6F82568895,MEDIDOR,TR-0002,1735689600,4102444800
8EC40F719D35,MEDIDOR,TR-0003,1735689600,4102444800
B0F13270A122,MEDIDOR,TR-0004,1735689600,4102444800
598F40D11983,MEDIDOR,TR-0000,1735689600,4102444800
97EA9F4C207B,MEDIDOR,TR-0001,1735689600,4102444800
970A03BF48CA,MEDIDOR,TR-0002,1735689600,4102444800
9A4669860825,MEDIDOR,TR-0003,1735689600,4102444800
8AB3A647E242,MEDIDOR,TR-0004,1735689600,4102444800
0A4D3DF2491F,MEDIDOR,TR-0000,1735689600,4102444800
E2A6BB786B85,MEDIDOR,TR-0001,1735689600,4102444800
9F63B84BA858,MEDIDOR,TR-0002,1735689600,4102444800
27CAA3C6DA6C,MEDIDOR,TR-0003,1735689600,4102444800
2CDE511F6255,MEDIDOR,TR-0004,1735689600,4102444800
52892776B4CB,MEDIDOR,TR-0000,1735689600,4102444800
63F0D2961586,MEDIDOR,TR-0001,1735689600,4102444800
C94B5CEABFD4,MEDIDOR,TR-0002,1735689600,4102444800
5544B6A5C27F,MEDIDOR,TR-0003,1735689600,4102444800
AAE04F8D316F,MEDIDOR,TR-0004,1735689600,4102444800
A13A80D61037,MEDIDOR,TR-0000,1735689600,4102444800
D0D50BE50AE9,MEDIDOR,TR-0001,1735689600,4102444800
F0B8231B1FAA,MEDIDOR,TR-0002,1735689600,4102444800
098B60A468A4,MEDIDOR,TR-0003,1735689600,4102444800
B3014B331894,MEDIDOR,TR-0004,1735689600,4102444800
9BE107219D70,MEDIDOR,TR-0000,1735689600,4102444800
DE4A34881962,MEDIDOR,TR-0001,1735689600,4102444800
62325018459C,MEDIDOR,TR-0002,1735689600,4102444800
BC937760C69C,MEDIDOR,TR-0003,1735689600,4102444800
30F91CFD6F2F,MEDIDOR,TR-0004,1735689600,4102444800
DF61F7C21E0C,MEDIDOR,TR-0000,1735689600,4102444800
80C7FD2E7ADA,MEDIDOR,TR-0001,1735689600,4102444800
89F55B69001B,MEDIDOR,TR-0002,1735689600,4102444800
6332A1E19E70,MEDIDOR,TR-0003,1735689600,4102444800
D29BDA93CC3D,MEDIDOR,TR-0004,1735689600,4102444800
E58A92770577,MEDIDOR,TR-0000,1735689600,4102444800
6690012EE33E,MEDIDOR,TR-0001,1735689600,4102444800
5643985DF0D0,MEDIDOR,TR-0002,1735689600,4102444800
38471184A057,MEDIDOR,TR-0003,1735689600,4102444800
4FFB4D5A706B,MEDIDOR,TR-0004,1735689600,4102444800
6C26B2DC248D,MEDIDOR,TR-0000,1735689600,4102444800
2ED1F2618287,MEDIDOR,TR-0001,1735689600,4102444800
0F6B115FA16A,MEDIDOR,TR-0002,1735689600,4102444800
0F2663BB9E4B,MEDIDOR,TR-0003,1735689600,4102444800
A5720209D082,MEDIDOR,TR-0004,1735689600,4102444800
D305B9B3164A,MEDIDOR,TR-0000,1735689600,4102444800
5E5319325B68,MEDIDOR,TR-0001,1735689600,4102444800
0277D4E7CF88,MEDIDOR,TR-0002,1735689600,4102444800
1D2C49C3EE8A,MEDIDOR,TR-0003,1735689600,4102444800
918F93882C42,MEDIDOR,TR-0004,1735689600,4102444800
193F22CA1DA6,MEDIDOR,TR-0000,1735689600,4102444800
4463999F778C,MEDIDOR,TR-0001,1735689600,4102444800
539068EB6FDD,MEDIDOR,TR-0002,1735689600,4102444800
3F385D47EED4,MEDIDOR,TR-0003,1735689600,4102444800
3BD1904813D2,MEDIDOR,TR-0004,1735689600,4102444800
AB556A735DEA,MEDIDOR,TR-0000,1735689600,4102444800
3B037DA8E2EC,MEDIDOR,TR-0001,1735689600,4102444800
BBF66CC45C4D,MEDIDOR,TR-0002,1735689600,4102444800
FD0876537AA0,MEDIDOR,TR-0003,1735689600,4102444800
04F8CF9AE53A,MEDIDOR,TR-0004,1735689600,4102444800
CD199C9DC729,MEDIDOR,TR-0000,1735689600,4102444800
3486353B28D9,MEDIDOR,TR-0001,1735689600,4102444800
51482915DF34,MEDIDOR,TR-0002,1735689600,4102444800
5E15E5145980,MEDIDOR,TR-0003,1735689600,4102444800
69F8BFE66A8B,MEDIDOR,TR-0004,1735689600,4102444800
1F7A4947CBD6,MEDIDOR,TR-0000,1735689600,4102444800
356661802CBD,MEDIDOR,TR-0001,1735689600,4102444800
BF903FD3D11F,MEDIDOR,TR-0002,1735689600,4102444800
CEFCAF13AADF,MEDIDOR,TR-0003,1735689600,4102444800
C5CA15D01EFE,MEDIDOR,TR-0004,1735689600,4102444800
BCCEA1276C18,MEDIDOR,TR-0000,1735689600,4102444800
14A0F4AF30D1,MEDIDOR,TR-0001,1735689600,4102444800
291D11D50CDD,MEDIDOR,TR-0002,1735689600,4102444800
54579EE8FB10,MEDIDOR,TR-0003,1735689600,4102444800
E4B000E77B8A,MEDIDOR,TR-0004,1735689600,4102444800
347F3AB550F9,MEDIDOR,TR-0000,1735689600,4102444800
E4541A412C05,MEDIDOR,TR-0001,1735689600,4102444800
81B8B6403739,MEDIDOR,TR-0002,1735689600,4102444800
D829BA65D388,MEDIDOR,TR-0003,1735689600,4102444800
52820D25C415,MEDIDOR,TR-0004,1735689600,4102444800
940FD2EF8635,MEDIDOR,TR-0000,1735689600,4102444800
DF6535E4A64B,MEDIDOR,TR-0001,1735689600,4102444800
778697A205C9,MEDIDOR,TR-0002,1735689600,4102444800
A28A00A86646,MEDIDOR,TR-0003,1735689600,4102444800
E1AE130DD629,MEDIDOR,TR-0004,1735689600,4102444800
730D476970A9,MEDIDOR,TR-0000,1735689600,4102444800
F6C24FCE1B08,MEDIDOR,TR-0001,1735689600,4102444800
27A3095CB8EB,MEDIDOR,TR-0002,1735689600,4102444800
AB30BF0720DA,MEDIDOR,TR-0003,1735689600,4102444800
DDA811B0A910,MEDIDOR,TR-0004,1735689600,4102444800
